IMMAGINE,AUTORE,TITOLO,TECNICA
"<img src=""Opera41.jpg"">",LEONARDO DA VINCI,STUDIO DI PANNEGGIO,"PUNTA METALLICA, CARBONCINO, BISTRO E BIACCA"
"<img src=""Opera42.jpg"">",LEONARDO DA VINCI,AUTORITRATTO,SANGUIGNA
"<img src=""Opera43.jpg"">",MICHELANGELO,TESTA DI PROFILO,SANGUIGNA
"<img src=""Opera44.jpg"">",MICHELANGELO,CROCIFISSIONE,GESSETTO NERO E BIACCA
"<img src=""Opera45.jpg"">",RAFFAELLO,SANTA CATERINA D'ALESSANDRIA,CARBONCINO RIALZATO IN BIANCO
"<img src=""Opera46.jpg"">",RAFFAELLO,TESTA D'ANGELO,CARBONCINO RIALZATO IN BIANCO
"<img src=""Opera47.jpg"">",RAFFAELLO,DONNA CHE LEGGE UN BAMBINO,"PUNTA METALLICA, RIALZATA DI BIANCO"
"<img src=""Opera48.jpg"">",ANDREA DEL SARTO,TESTA DI PROFILO,SANGUIGNA
"<img src=""Opera49.jpg"">",FRA' BARTOLOMEO,TESTA DI UOMO ANZIANO,CARBONCINO
"<img src=""Opera50.jpg"">",PONTORMO,DUE DONNE VELATE,SANGUIGNA
"<img src=""Opera51.jpg"">",DOMENICO BECCAFUMI,NUDO DISTESO,"MATITA NERA, PENNELLO E BISTRO, LUMEGGIATURE A BIACCA"
"<img src=""Opera52.jpg"">",PARMIGIANINO,LE NOZZE MISTICHE DI SANTA CATERINA,"PENNA E INCHIOSTRO BRUNO, ACQUERELLATE IN SEPPIA, LUMEGGIATURE A BIACCA SU CARTA TINTA IN ROSA"
"<img src=""Opera53.jpg"">",CORREGGIO,EVA,SANGUIGNA RIALZATA IN BIANCO
"<img src=""Opera54.jpg"">",NICOLÒ DELL'ABATE,GIOVANE CHE ABBRACCIA UNA DONNA IGNUDA,PENNA E BISTRO CON LUMEGGIATURE IN BIANCO SU CARTA BRUNA
"<img src=""Opera55.jpg"">",FEDERICO BAROCCI,TESTA DI PROFILO,TRE GESSETTI SU CARTA AZZURRA
"<img src=""Opera56.jpg"">",LUCA CAMBIASO,VENERE TRATTIENE ADONE,PENNA E INCHIOSTRO SEPPIA SU CARTA
"<img src=""Opera57.jpg"">",GIORGIONE,PASTORELLO,SANGUIGNA
"<img src=""Opera58.jpg"">",LORENZO LOTTO,TESTA DI DONNA,PUNTA D'ARGENTO PENNELLATO A BIACCA
"<img src=""Opera59.jpg"">",LORENZO LOTTO,MARTIRIO DI UN SANTO,"PENNA, INCHIOSTRO BRUNO, MATITA NERA"
"<img src=""Opera60.jpg"">",LORENZO LOTTO,PRELATO NELLO STUDIO,"PENNA, PENNELLO E INCHIOSTRO BRUNO CON LUMEGGIATURE A BIACCA"
"<img src=""Opera61.jpg"">",SEBASTIANO DEL PIOMBO,DONNA NUDA IN PIEDI,GESSETTO NERO RIALZATO IN BIANCO SU CARTA AZZURRA
"<img src=""Opera62.jpg"">",TIZIANO VECELLIO,RITRATTO DI GIOVANE DONNA,GESSETTO NERO RIALZATO DI GESSETTO BIANCO
"<img src=""Opera63.jpg"">",TIZIANO VECELLIO,COPPIA MITOLOGICA ABBRACCIATA,CARBONCINO LUMEGGIATURE A BIACCA
"<img src=""Opera64.jpg"">",TIZIANO VECELLIO,PAESAGGIO CON DONNA NUDA DORMIENTE,PENNA E INCHIOSTRO BRUNO CON LUMEGGIATURE A BIACCA
"<img src=""Opera65.jpg"">",DOMENICO CAMPAGNOLA,GIUDIZIO DI PARIDE,PENNA E INCHIOSTRO BRUNO
"<img src=""Opera66.jpg"">",PORDENONE,MARTIRIO DI SAN PIETRO MARTIRE,SANGUIGNA
"<img src=""Opera67.jpg"">",ANDREA SCHIAVONE,ANNUNCIAZIONE,"GESSETTO NERO, PENNELLO E INCHIOSTRO BRUNO RIALZATO DI BIANCO"
"<img src=""Opera68.jpg"">",JACOPO BASSANO,TESTA DI DONNA,"PENNELLO E OLIO BRUNO, GRIGIO ROSSO E BIANCO"
"<img src=""Opera69.jpg"">",JACOPO BASSANO,FLAGELLAZIONE,GESSETTI COLORATI SU CARTA AZZURRA
"<img src=""Opera70.jpg"">",JACOPO BASSANO,DIANA,GESSETTO NERO RIALZATO DI BIANCO SU CARTA AZZURRA
"<img src=""Opera71.jpg"">",JACOPO TINTORETTO,ARCIERE,GESSETTO NERO SU CARTA MARRONCINA
"<img src=""Opera72.jpg"">",JACOPO TINTORETTO,"VENERE, VULCANO E MARTE","PENNA E PENNELLO, INCHIOSTRO NERO E LUMEGGIATURE BIACCA SU CARTA AZZURRA"
"<img src=""Opera73.jpg"">",DOMENICO TINTORETTO,SCENA DI CONTADINI,"CARBONCINO E PENNELLO, TEMPERA GRIGIA E BIACCA SU CARTA AZZURRINA"
"<img src=""Opera74.jpg"">",EL GRECO,STUDIA DAL GIORNO DI MICHELANGELO,GESSETTO NERO E BIANCO E ACQUERELLO SU CARTA AZZURRA
"<img src=""Opera75.jpg"">",JACOPO PALMA IL GIOVANE,DEPOSIZIONE,PENNA E ACQUERELLO RIALZATO CON ORO SU CARTA GRIGIO VERDASTRA
"<img src=""Opera76.jpg"">",PAOLO VERONESE,FOGLIO DI STUDI,PENNA E INCHIOSTRO BRUNO
"<img src=""Opera77.jpg"">",PAOLO VERONESE,LA VITTORIA,PENNA E BISTRO CON LUMEGGIATURE BIANCHE SU CARTA PREPARATA GRIGIO O AZZURRO
"<img src=""Opera78.jpg"">",PAOLO VERONESE,TESTA DI DONNA,GESSETTO NERO E BIANCO SU CARTA AZZURRA
"<img src=""Opera79.jpg"">",CARLETTO CALIARI,RITRATTO D'UOMO,"GESSETTO NERO, BRUNO E ROSSO, TRACCE DI GESSETTO BIANCO"
"<img src=""Opera80.jpg"">",FEDERICO ZUCCARI, TADDEO ZUCCARI GIOVINETTO IN CASA DI GIOVANNI PIERO,"PENNA, PENNELLO E INCHIOSTRO BRUNO"
"<img src=""Opera81.jpg"">",MARTIN SCHONGAUER,MADONNA COL BAMBINO E IL GAROFANO,PENNA E INCHIOSTRO BRUNO
"<img src=""Opera82.jpg"">",ALBRECHT DURER,MADONNA DEGLI ANIMALI,"PENNA, INCHIOSTRO NERO E ACQUERELLO"
"<img src=""Opera83.jpg"">",ALBRECHT DURER,VEDUTA DI ARCO,ACQUERELLO E GUAZZO
"<img src=""Opera84.jpg"">",ALBRECHT DURER,LEPRE,ACQUERELLO E LUMEGGIATURE A TEMPERA SU CARTA
"<img src=""Opera85.jpg"">",ALBRECHT DURER,ZOLLA D'ERBA,ACQUERELLO E GUAZZO
"<img src=""Opera86.jpg"">",ALBRECHT DURER,TESTA DI DONNA,CARBONCINO CON SFONDO IN ACQUERELLO IN VERDE OLIVA
"<img src=""Opera87.jpg"">",CRANACH IL VECCHIO,TESTA DI UOMO CON BERRETTO DI PELLICCIA,"PENNELLO E ACQUERELLO, ACCENTUATO A PENNA"
"<img src=""Opera88.jpg"">",MATHIS GRUNEWALD,TRE TESTE,GESSETTO NERO
"<img src=""Opera89.jpg"">",BALDUNG GREIN,LA DONNA E LA MORTE,"PENNA E INCHIOSTRO BRUNO, LUMEGGIATURE A BIACCA SU CARTA PREPARATA,BRUNA"
"<img src=""Opera90.jpg"">",DEUTSCH,ALLEGORIA DELLA MORTE,PENNA E INCHIOSTRO DI CHINA RIALZATO DI BIANCO SU CARTA PREPARATA IN OCRA
"<img src=""Opera91.jpg"">",URS GRAF,COPPIA VISTA DA DIETRO,PENNA E INCHIOSTRO DI CHINA
"<img src=""Opera92.jpg"">",URS GRAF,DAMA,PENNA E INCHIOSTRO DI CHINA
"<img src=""Opera93.jpg"">",LUCA DA LEIDA,FANCIULLA CHE LEGGE,GESSETTO NERO
"<img src=""Opera94.jpg"">",HOLBEIN IL GIOVANE,RITRATTO DI DAMA,GESSETTO NERO E COLORATI
"<img src=""Opera95.jpg"">",BRUEGEL IL VECCHIO,I CIECHI,PENNA E INCHIOSTRO BRUNO
"<img src=""Opera96.jpg"">",BRUEGEL IL VECCHIO,VEDUTA DI RIPA GRANDE,PENNA E INCHIOSTRO BRUNO
"<img src=""Opera97.jpg"">",HENDRICK GOLTZIUS,DAFNE,PENNA E INCHIOSTRO BRUNO SU TRACCIA DI SANGUIGNA E GESSETTO NERO
"<img src=""Opera98.jpg"">",HENDRICK GOLTZIUS,PAESAGGIO CON ALBERI,"PENNA, PENNELLO E INCHIOSTRO BRUNO"
"<img src=""Opera99.jpg"">",FRANCOIS CLOUET,RITRATTO DI GENTILUOMO,GESSETTO NERO E ROSSO
"<img src=""Opera100.jpg"">",LUDOVICO CARRACCI,QUATTRO FIGURE PER L'AFFRESCO CON SAN PIETRO IN CASA DI SIMON CUOIAIO,SANGUIGNA E LUMEGGIATURE A BIACCA SU CARTA
"<img src=""Opera101.jpg"">",AGOSTINO CARRACCI,ANCHISE E VENERE,PENNA E INCHIOSTRO BRUNO SU TRACCIA DI SANGUIGNA
"<img src=""Opera102.jpg"">",ANNIBALE CARRACCI,PAESAGGIO CON FIUME E BARCA,PENNA E INCHIOSTRO BRUNO
"<img src=""Opera103.jpg"">",ANNIBALE CARRACCI,RITRATTO DI UOMO PENSOSO,GESSETTO NERO SU CARTA BIANCA
"<img src=""Opera104.jpg"">",ANNIBALE CARRACCI,FANCIULLO MALATO,SANGUIGNA ACQUERELLATO
"<img src=""Opera105.jpg"">",CECCO BRAVO,FANCIULLA DI PROFILO,SANGUIGNA
"<img src=""Opera106.jpg"">",GUERCINO,BUSTO DI DONNA DI PROFILO,PENNA SU CARTA AVORIO
"<img src=""Opera107.jpg"">",GUERCINO,NOZZE MISTICHE DI SANTA CATERINA,"GESSETTO NERO, PENNA, PENNELLO E INCHIOSTRO BRUNO"
